PMB Code,PMB Description,Treatment Component,ICD10 Code,ICD10 Description,Comments
BRAIN AND NERVOUS SYSTEM,,,,,
906A,"Acute generalised paralysis, including polio and Guillain-Barre",Medical management; ventilation and plasmapheresis,A80.0,"Acute paralytic poliomyelitis, vaccine-associated",
906A,"Acute generalised paralysis, including polio and Guillain-Barre",Medical management; ventilation and plasmapheresis,A80.1,"Acute paralytic poliomyelitis, wild virus, imported",
906A,"Acute generalised paralysis, including polio and Guillain-Barre",Medical management; ventilation and plasmapheresis,A80.2,"Acute paralytic poliomyelitis, wild virus, indigenous",
906A,"Acute generalised paralysis, including polio and Guillain-Barre",Medical management; ventilation and plasmapheresis,A80.3,"Acute paralytic poliomyelitis, other and unspecified",
906A,"Acute generalised paralysis, including polio and Guillain-Barre",Medical management; ventilation and plasmapheresis,A80.9,"Acute poliomyelitis, unspecified",
906A,"Acute generalised paralysis, including polio and Guillain-Barre",Medical management; ventilation and plasmapheresis,B91,Sequelae of poliomyelitis,
906A,"Acute generalised paralysis, including polio and Guillain-Barre",Medical management; ventilation and plasmapheresis,G14,Postpolio syndrome,
906A,"Acute generalised paralysis, including polio and Guillain-Barre",Medical management; ventilation and plasmapheresis,G61.0,Guillain-BarrŽ syndrome,
906A,"Acute generalised paralysis, including polio and Guillain-Barre",Medical management; ventilation and plasmapheresis,G61.1,Serum neuropathy,
906A,"Acute generalised paralysis, including polio and Guillain-Barre",Medical management; ventilation and plasmapheresis,G61.8,Other inflammatory polyneuropathies,
906A,"Acute generalised paralysis, including polio and Guillain-Barre",Medical management; ventilation and plasmapheresis,G61.9,"Inflammatory polyneuropathy, unspecified",
341A,"Basal ganglia, extra-pyramidal disorders; other dystonias  NOS",Initial diagnosis; initiation of medical management,G20,Parkinson's disease,
341A,"Basal ganglia, extra-pyramidal disorders; other dystonias  NOS",Initial diagnosis; initiation of medical management,G21.1,Other drug-induced secondary parkinsonism,
341A,"Basal ganglia, extra-pyramidal disorders; other dystonias  NOS",Initial diagnosis; initiation of medical management,G21.2,Secondary parkinsonism due to other external agents,
341A,"Basal ganglia, extra-pyramidal disorders; other dystonias  NOS",Initial diagnosis; initiation of medical management,G21.3,Postencephalitic parkinsonism,
341A,"Basal ganglia, extra-pyramidal disorders; other dystonias  NOS",Initial diagnosis; initiation of medical management,G21.4,Vascular parkinsonism ,
341A,"Basal ganglia, extra-pyramidal disorders; other dystonias  NOS",Initial diagnosis; initiation of medical management,G21.8,Other secondary parkinsonism,
341A,"Basal ganglia, extra-pyramidal disorders; other dystonias  NOS",Initial diagnosis; initiation of medical management,G21.9,"Secondary parkinsonism, unspecified",
341A,"Basal ganglia, extra-pyramidal disorders; other dystonias  NOS",Initial diagnosis; initiation of medical management,G22,Parkinsonism in diseases classified elsewhere,
341A,"Basal ganglia, extra-pyramidal disorders; other dystonias  NOS",Initial diagnosis; initiation of medical management,G23.0,Hallervorden-Spatz disease,
341A,"Basal ganglia, extra-pyramidal disorders; other dystonias  NOS",Initial diagnosis; initiation of medical management,G23.1,Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski],
341A,"Basal ganglia, extra-pyramidal disorders; other dystonias  NOS",Initial diagnosis; initiation of medical management,G23.2,Striatonigral degeneration,
341A,"Basal ganglia, extra-pyramidal disorders; other dystonias  NOS",Initial diagnosis; initiation of medical management,G23.8,Other specified degenerative diseases of basal ganglia,
341A,"Basal ganglia, extra-pyramidal disorders; other dystonias  NOS",Initial diagnosis; initiation of medical management,G23.9,"Degenerative disease of basal ganglia, unspecified",
341A,"Basal ganglia, extra-pyramidal disorders; other dystonias  NOS",Initial diagnosis; initiation of medical management,G24.0,Drug-induced dystonia,
341A,"Basal ganglia, extra-pyramidal disorders; other dystonias  NOS",Initial diagnosis; initiation of medical management,G24.1,Idiopathic familial dystonia,
341A,"Basal ganglia, extra-pyramidal disorders; other dystonias  NOS",Initial diagnosis; initiation of medical management,G24.2,Idiopathic nonfamilial dystonia,
341A,"Basal ganglia, extra-pyramidal disorders; other dystonias  NOS",Initial diagnosis; initiation of medical management,G24.3,Spasmodic torticollis,
341A,"Basal ganglia, extra-pyramidal disorders; other dystonias  NOS",Initial diagnosis; initiation of medical management,G24.4,Idiopathic orofacial dystonia,
341A,"Basal ganglia, extra-pyramidal disorders; other dystonias  NOS",Initial diagnosis; initiation of medical management,G24.8,Other dystonia,
341A,"Basal ganglia, extra-pyramidal disorders; other dystonias  NOS",Initial diagnosis; initiation of medical management,G24.9,Dystonia unspecified,
341A,"Basal ganglia, extra-pyramidal disorders; other dystonias  NOS",Initial diagnosis; initiation of medical management,G25.0,Essential tremor,
341A,"Basal ganglia, extra-pyramidal disorders; other dystonias  NOS",Initial diagnosis; initiation of medical management,G25.1,Drug-induced tremor,
341A,"Basal ganglia, extra-pyramidal disorders; other dystonias  NOS",Initial diagnosis; initiation of medical management,G25.2,Other specified forms of tremor,
341A,"Basal ganglia, extra-pyramidal disorders; other dystonias  NOS",Initial diagnosis; initiation of medical management,G25.3,Myoclonus,
341A,"Basal ganglia, extra-pyramidal disorders; other dystonias  NOS",Initial diagnosis; initiation of medical management,G25.4,Drug-induced chorea,
341A,"Basal ganglia, extra-pyramidal disorders; other dystonias  NOS",Initial diagnosis; initiation of medical management,G25.5,Other chorea,
341A,"Basal ganglia, extra-pyramidal disorders; other dystonias  NOS",Initial diagnosis; initiation of medical management,G25.6,Drug-induced tics and other tics of organic origin,
341A,"Basal ganglia, extra-pyramidal disorders; other dystonias  NOS",Initial diagnosis; initiation of medical management,G25.8,Other extrapyramidal and movement disorders - Other specified extrapyramidal and movement disorders,
341A,"Basal ganglia, extra-pyramidal disorders; other dystonias  NOS",Initial diagnosis; initiation of medical management,G25.9,Extrapyramidal and movement disorder unspecified,
341A,"Basal ganglia, extra-pyramidal disorders; other dystonias  NOS",Initial diagnosis; initiation of medical management,G26,Extrapyramidal and movement disorders in diseases classified elsewhere,
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C70.0,"Malignant neoplasm, cerebral meninges",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C70.0+D63.0*,"Malignant neoplasm, cerebral meninges/Anaemia in neoplastic disease (C00-D48+)",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C70.0+G13.0*,"Malignant neoplasm, cerebral meninges/Paraneoplastic neuromyopathy and neuropathy",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C70.0+G13.1*,"Malignant neoplasm, cerebral meninges/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C70.1,"Malignant neoplasm, spinal meninges",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C70.1+D63.0*,"Malignant neoplasm, spinal meninges/Anaemia in neoplastic disease (C00-D48+)",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C70.1+G13.0*,"Malignant neoplasm, spinal meninges/Paraneoplastic neuromyopathy and neuropathy",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C70.1+G13.1*,"Malignant neoplasm, spinal meninges/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C70.9,"Malignant neoplasm, meninges, unspecified",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C70.9+D63.0*,"Malignant neoplasm, meninges, unspecified/Anaemia in neoplastic disease (C00-D48+)",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C70.9+G13.0*,"Malignant neoplasm, meninges, unspecified/Paraneoplastic neuromyopathy and neuropathy",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C70.9+G13.1*,"Malignant neoplasm, meninges, unspecified/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.0,"Malignant neoplasm, cerebrum except lobes and ventricles",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.0+D63.0*,"Malignant neoplasm, cerebrum except lobes and ventricles/Anaemia in neoplastic disease (C00-D48+)",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.0+G13.0*,"Malignant neoplasm, cerebrum except lobes and ventricles/Paraneoplastic neuromyopathy and neuropathy",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.0+G13.1*,"Malignant neoplasm, cerebrum except lobes and ventricles/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.1,"Malignant neoplasm, frontal lobe",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.1+D63.0*,"Malignant neoplasm, frontal lobe/Anaemia in neoplastic disease (C00-D48+)",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.1+G13.0*,"Malignant neoplasm, frontal lobe/Paraneoplastic neuromyopathy and neuropathy",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.1+G13.1*,"Malignant neoplasm, frontal lobe/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.2,"Malignant neoplasm, temporal lobe",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.2+D63.0*,"Malignant neoplasm, temporal lobe/Anaemia in neoplastic disease (C00-D48+)",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.2+G13.0*,"Malignant neoplasm, temporal lobe/Paraneoplastic neuromyopathy and neuropathy",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.2+G13.1*,"Malignant neoplasm, temporal lobe/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.3,"Malignant neoplasm, parietal lobe",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.3+D63.0*,"Malignant neoplasm, parietal lobe/Anaemia in neoplastic disease (C00-D48+)",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.3+G13.0*,"Malignant neoplasm, parietal lobe/Paraneoplastic neuromyopathy and neuropathy",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.3+G13.1*,"Malignant neoplasm, parietal lobe/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.4,"Malignant neoplasm, occipital lobe",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.4+D63.0*,"Malignant neoplasm, occipital lobe/Anaemia in neoplastic disease (C00-D48+)",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.4+G13.0*,"Malignant neoplasm, occipital lobe/Paraneoplastic neuromyopathy and neuropathy",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.4+G13.1*,"Malignant neoplasm, occipital lobe/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.5,"Malignant neoplasm, cerebral ventricle",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.5+D63.0*,"Malignant neoplasm, cerebral ventricle/Anaemia in neoplastic disease (C00-D48+)",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.5+G13.0*,"Malignant neoplasm, cerebral ventricle/Paraneoplastic neuromyopathy and neuropathy",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.5+G13.1*,"Malignant neoplasm, cerebral ventricle/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.6,"Malignant neoplasm, cerebellum",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.6+D63.0*,"Malignant neoplasm, cerebellum/Anaemia in neoplastic disease (C00-D48+)",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.6+G13.0*,"Malignant neoplasm, cerebellum/Paraneoplastic neuromyopathy and neuropathy",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.6+G13.1*,"Malignant neoplasm, cerebellum/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.7,"Malignant neoplasm, brain stem",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.7+D63.0*,"Malignant neoplasm, brain stem/Anaemia in neoplastic disease (C00-D48+)",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.7+G13.0*,"Malignant neoplasm, brain stem/Paraneoplastic neuromyopathy and neuropathy",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.7+G13.1*,"Malignant neoplasm, brain stem/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.8,"Malignant neoplasm, overlapping lesion of brain",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.8+D63.0*,"Malignant neoplasm, overlapping lesion of brain/Anaemia in neoplastic disease (C00-D48+)",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.8+G13.0*,"Malignant neoplasm, overlapping lesion of brain/Paraneoplastic neuromyopathy and neuropathy",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.8+G13.1*,"Malignant neoplasm, overlapping lesion of brain/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.9,"Malignant neoplasm, brain, unspecified",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.9+D63.0*,"Malignant neoplasm, brain, unspecified/Anaemia in neoplastic disease (C00-D48+)",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.9+G13.0*,"Malignant neoplasm, brain, unspecified/Paraneoplastic neuromyopathy and neuropathy",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C71.9+G13.1*,"Malignant neoplasm, brain, unspecified/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C72.0,"Malignant neoplasm, spinal cord",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C72.0+D63.0*,"Malignant neoplasm, spinal cord/Anaemia in neoplastic disease (C00-D48+)",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C72.0+G13.0*,"Malignant neoplasm, spinal cord/Paraneoplastic neuromyopathy and neuropathy",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C72.0+G13.1*,"Malignant neoplasm, spinal cord/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C72.1,"Malignant neoplasm, cauda equina",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C72.1+D63.0*,"Malignant neoplasm, cauda equina/Anaemia in neoplastic disease (C00-D48+)",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C72.1+G13.0*,"Malignant neoplasm, cauda equina/Paraneoplastic neuromyopathy and neuropathy",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C72.1+G13.1*,"Malignant neoplasm, cauda equina/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C72.2,"Malignant neoplasm, olfactory nerve",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C72.2+D63.0*,"Malignant neoplasm, olfactory nerve/Anaemia in neoplastic disease (C00-D48+)",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C72.2+G13.0*,"Malignant neoplasm, olfactory nerve/Paraneoplastic neuromyopathy and neuropathy",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C72.2+G13.1*,"Malignant neoplasm, olfactory nerve/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C72.3,"Malignant neoplasm, optic nerve",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C72.3+D63.0*,"Malignant neoplasm, optic nerve/Anaemia in neoplastic disease (C00-D48+)",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C72.3+G13.0*,"Malignant neoplasm, optic nerve/Paraneoplastic neuromyopathy and neuropathy",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C72.3+G13.1*,"Malignant neoplasm, optic nerve/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C72.4,"Malignant neoplasm, acoustic nerve",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C72.4+D63.0*,"Malignant neoplasm, acoustic nerve/Anaemia in neoplastic disease (C00-D48+)",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C72.4+G13.0*,"Malignant neoplasm, acoustic nerve/Paraneoplastic neuromyopathy and neuropathy",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C72.4+G13.1*,"Malignant neoplasm, acoustic nerve/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C72.5,"Malignant neoplasm, other and unspecified cranial nerves",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C72.5+D63.0*,"Malignant neoplasm, other and unspecified cranial nerves/Anaemia in neoplastic disease (C00-D48+)",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C72.5+G13.0*,"Malignant neoplasm, other and unspecified cranial nerves/Paraneoplastic neuromyopathy and neuropathy",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C72.5+G13.1*,"Malignant neoplasm, other and unspecified cranial nerves/Other systemic atrophy primarily affecting central nervous system in neoplastic disease",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C72.8,"Malignant neoplasm, overlapping lesion of brain and other parts of central nervous system",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C72.8+D63.0*,"Malignant neoplasm, overlapping lesion of brain and other parts of central nervous system/Anaemia in neoplastic disease (C00-D48+)",
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy ,C72.8+G13.0*,"Malignant neoplasm, overlapping lesion of brain and other parts of central nervous system/Paraneoplastic neuromyopathy and neuropathy",
